Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Yousfi, S.; Chaieb, M.","Yousfi, Souheib (57201777307); Chaieb, Marwa (57205618639)",57201777307; 57205618639,Building a Scalable and Coercion-Resistant E-Voting System Using Blockchain,2025,SN Computer Science,6,6,561,,,0,10.1007/s42979-025-04088-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008687305&doi=10.1007%2Fs42979-025-04088-w&partnerID=40&md5=b69e9188babc7f06d4ec532ccd701939,"Coercion resistance is a strong notion of privacy, ensuring that voters cannot be forced or incentivized to reveal their votes, preventing vote-buying or coercion attempts. However, achieving coercion resistance while simultaneously guaranteeing election verifiability and scalability remains a significant challenge in electronic voting systems. In response to these challenges, we propose LOKI Vote, a blockchain-based e-voting protocol designed to ensure strong coercion resistance while guaranteeing all the requirements of a secure and democratic election. LOKI Vote employs advanced cryptographic mechanisms, including Zero-Knowledge Proofs, the Modified El-Gamal Cryptosystem, and BBS Group Signatures. It integrates the LLARP mix network, providing anonymous, low-latency communication between voters and election authorities. By leveraging blockchain technology, the system ensures immutability and public verifiability, allowing anyone to audit the process without compromising voter anonymity. Additionally, we conduct an informal security assessment against a list of security requirements including voters’ eligibility, fairness, verifiability and data integrity. We then formally verify the protocol’s security using ProVerif and Applied Pi-Calculus, demonstrating that it guarantees ballot secrecy, voter authentication, and vote privacy. We implement our proposed approach and evaluate its performance in terms of execution time, cost, and scalability. The results show the protocol’s efficiency. Finally, we simulate a real-world election using LOKI Vote to validate its practicality. Our findings demonstrate that it scales efficiently to millions of voters, significantly reducing vote tallying time. © 2025 Elsevier B.V., All rights reserved.",Blockchain technology; Coercion-resistance; Group signature; Performance and security evaluation; Practical implementation; Zero-knowledge proofs,,,Springer,26618907; 2662995X,,,English,SN COMPUT. SCI.,Article,Final,,Scopus,2-s2.0-105008687305
"Duc, D.B.; Ba, N.T.; Hong, K.V.","Duc, Bui Tien (58126656500); Ba, Namtran (59425976300); Hong, Khanh Vo (60015271000)",58126656500; 59425976300; 60015271000,Cross-Chain Blockchain Voting System with NFT-Based Authentication,2025,,,,,457,464,0,10.1145/3719384.3719452,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011711841&doi=10.1145%2F3719384.3719452&partnerID=40&md5=ca4eca053de6813ed3e436478695863b,"Traditional voting systems face numerous challenges, including security vulnerabilities, transparency issues, and operational inefficiencies, which undermine public confidence in electoral processes. Blockchain technology offers a promising solution with its immutable, decentralized, and cryptographically secure framework, addressing these critical issues. This paper presents a blockchain-based voting system implemented across multiple Ethereum Virtual Machine (EVM) platforms, including Binance Smart Chain, Fantom, Polygon, and Celo. The system leverages smart contracts for secure vote management and Non-Fungible Tokens (NFTs) for voter authentication, ensuring the uniqueness and authenticity of each vote. Our research includes a comprehensive evaluation of the system's performance, focusing on transaction costs, processing speed, and scalability. The findings demonstrate the potential of blockchain technology to efficiently handle large volumes of electoral data while maintaining security and integrity, thereby enhancing the reliability and transparency of voting systems. © 2025 Elsevier B.V., All rights reserved.",Blockchain; EVM Platforms; NFTs; Security; Smart Contracts; Transparency; Voting Systems,Authentication; Chains; Cryptography; Electronic voting; Network security; Smart contract; Voting machines; Block-chain; Comprehensive evaluation; Critical issues; Decentralised; Ethereum virtual machine platform; Non-fungible token; Security; Security vulnerabilities; Systems performance; Voting systems; Blockchain; Transparency,,Association for Computing Machinery,,9798400717420; 9798400717413; 9798400717925; 9798400714726,,English,ACM Int. Conf. Proc. Ser.,Conference paper,Final,,Scopus,2-s2.0-105011711841
"Shekhar, C.; Yadav, R.K.","Shekhar, Chandra (59674617200); Yadav, Rakesh Kumar (58950744000)",59674617200; 58950744000,An innovative and secured electronic voting system based on Elliptic Curved Signing Approach (ECDSA) and digital signatures,2025,International Journal of Information Technology (Singapore),17,5,,2679,2684,0,10.1007/s41870-025-02405-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000314646&doi=10.1007%2Fs41870-025-02405-3&partnerID=40&md5=5001a3f572bd1a7d9cad1c271d34b7ea,"Conducting elections via traditional techniques pose several issues such as lack of security, lack of adaptability, transparency and lack of management during voting process. It leads to a demand of flexible, transparent, secure and cost-effective voting system. Thus, the given paper introduces a novel and secured blockchain-based voting system that combines elliptic curved signing approach (ECDSA) and digital signatures. The proposed approach uses timestamp-based authentication with a digital signature protocol for validating voters and candidates during registration. The voting-based consensus ECDSA approach has been applied with the help of smart contracts to validate votes, adding blocks to the blockchain network thereby ensuring transparency in the voting process. Lastly, the performance of the proposed system is validated and compared with existing studies based on evaluation metrics such as response time (ms) and vote alteration (%). The results show that the proposed system attains the lowest response time (5.23 ms) and the lowest vote alteration rate (1.92%) thereby outperforming the existing works in the context of e-voting system. © 2025 Elsevier B.V., All rights reserved.",Blockchain; Digital signatures; ECDSA; Electronic voting; Smart contract,,,Springer Science and Business Media B.V.,25112104; 25112112,,,English,Int. J. Inf. Technol.,Article,Final,,Scopus,2-s2.0-86000314646
"Shi, Y.; Fan, K.; Bai, Y.; Zhang, C.; Zhang, K.; Li, H.; Yang, Y.","Shi, Yijie (59380367200); Fan, Kai (8283161700); Bai, Yuhan (57210283549); Zhang, Chonglin (59380214600); Zhang, Kuan (55695066400); Li, Hui (57218312611); Yang, Yintang (57200899280)",59380367200; 8283161700; 57210283549; 59380214600; 55695066400; 57218312611; 57200899280,Blockchain-based anonymous and self-tallying voting with time-bounded ballot secrecy,2025,Computer Networks,263,,111217,,,0,10.1016/j.comnet.2025.111217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001280963&doi=10.1016%2Fj.comnet.2025.111217&partnerID=40&md5=b49af864a3ed02722a283a2ed44ebb0c,"Voting has been indispensable in modern society, encompassing activities from national public elections to board decision-making processes, highlighting the extensive utility of voting protocols. In cyberspace, electronic voting serves as a foundational protocol for many applications, facilitating decision-making, task execution, trust establishment, consensus achievement, and data validation. However, existing voting protocols face security and privacy challenges, including anonymity and fairness. To address these issues, we propose a novel secure and privacy-preserving voting protocol atop blockchain. Our protocol achieves all-time voter anonymity and full fairness. Meanwhile, we take advantage of delay encryption to achieve time-bounded ballot secrecy. In addition, our protocol supports robust self-tallying and traceability. The security analysis, coupled with performance evaluation, affirms that our protocol fulfills all intended security properties while maintaining a reasonable level of overhead. © 2025 Elsevier B.V., All rights reserved.",Anonymity; Ballot secrecy; Fairness; Self-tallying; Voting,Differential privacy; Ballot secrecy; Block-chain; Cyberspaces; Decision-making process; Decisions makings; Electronic voting; Fairness; Self-tallying; Voting; Voting protocols; Anonymity,,Elsevier B.V.,13891286,,CNETD,English,Comput. Networks,Article,Final,,Scopus,2-s2.0-105001280963
"Angayarkanni, A.; Pandiaraj, P.; Ponnusamy, R.; Kavitha, K.; Singh, K.; Chandel, H.","Angayarkanni, Veeraputhiran (57057765800); Pandiaraj, A. (57222423930); Ponnusamy, Rama (56841346000); Kavitha, Kamatchi (58734142300); Singh, Kritika (59832785200); Chandel, Harsh (59831942600)",57057765800; 57222423930; 56841346000; 58734142300; 59832785200; 59831942600,Decentralized Online Voting System Using Blockchain,2025,AIP Conference Proceedings,3258,1,20028,,,0,10.1063/5.0263835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004740482&doi=10.1063%2F5.0263835&partnerID=40&md5=24e995454f2efea61131d141ff8b1031,"This research paper presents a decentralized online voting framework that uses blockchain technology and cryptographic techniques to revolutionize the electoral process. The system uses a tamper-proof ledger to record voting transactions, ensuring transparency and integrity. It also incorporates cryptographic hashes and Zero-Knowledge Proofs (ZKPs) to provide a secure and private voting experience. This innovative approach addresses challenges in traditional electoral systems, such as security vulnerabilities and lack of transparency, while enhancing accessibility and inclusivity. Performance evaluations show the system's scalability, resilience, and efficiency in real-world scenarios. Through performance evaluations across various metrics like throughput, latency, and fault tolerance, the system demonstrates scalability, resilience, and efficiency in diverse scenarios. By harnessing the power of blockchain applications and cryptographic techniques, the proposed framework sets the stage for secure, transparent, and inclusive electoral systems, empowering citizens to engage in the democratic process with trust and assurance. © 2025 Elsevier B.V., All rights reserved.",Block chain; Cryptographic hash; E-Voting system; Electoral system; Secure voting,,"Kannadhasan, S.; Vasuki, S.; Kavitha, K.; Karthikeyan, P.; Gandhimathi, S.",American Institute of Physics,0094243X; 15517616,9780735446496; 9780735451889; 9780735441088; 9780735403598; 9780735444577; 9780735443594; 9780735448001; 9780735416437; 9780735402744; 9780735408869,,English,AIP Conf. Proc.,Conference paper,Final,,Scopus,2-s2.0-105004740482
"Prabakar, T.; Kanchana, S.","Prabakar, T. (58906764800); Kanchana, S. (56585823600)",58906764800; 56585823600,AN IOT BASED EFFICIENT E-VOTING SYSTEM USING QR CODE AND EFFT-SWIFFT WITH BLOCKCHAIN FOR ENHANCED SECURITY AND TRANSPARENCY,2025,Journal of Theoretical and Applied Information Technology,103,7,,2917,2931,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002808529&partnerID=40&md5=b97d7b66f8dabcccc3fcdf91a3769fa2,"To modernize the democratic voting process, electronic voting systems have appeared as a promising solution. Nevertheless, concerns about the disclosure of sensitive information and the potential compromise of voter privacy might be raised by the transparency of Blockchain (BC)-centric systems. For overcoming these challenges, an Efficient E-Voting System with a QR Code using Blockchain (EVS-QCB) is proposed in this research. To strike a balance between transparency and privacy, the proposed approach incorporates an authority management mechanism. The proposed E-Voting system includes a QR code-based multi-factor authentication mechanism, unlike conventional single-factor authentication system, reducing the risk of credential theft. The system begins with the Voter Registration Phase, where the voters register to the E-Voting system. For selecting relevant attributes from voter details, the system uses a Linear Scaling-based Fox Hunting Optimization Algorithm (LS-FHOA). Next, QR codes and smart contracts are generated and stored in a secure database. Voters authenticate through usernames, passwords, and QR codes during the voting phase, and the system ensures eligibility and prevents duplicate voting utilizing Smart Contracts. Using the Public key raised to the Power of Private key-Elliptic Curve Cryptography (P3-ECC) algorithm, the voting details are encrypted. Utilizing the Exponential Fast Fourier Transformation- Single-Window Iterative Fast Fourier Transform (EFFT-SWIFFT) hashing technique, the encrypted data is transformed into a unique hash code. The generated hash codes are securely stored in BC technology. During the vote counting time, the voting details are fetched from the BC and processed for determining the final results. Performance evaluations demonstrate superior execution time, security, and memory usage compared to baseline models. This work contributes to advancing blockchain-centric e-voting security while addressing authentication and privacy challenges. © 2025 Elsevier B.V., All rights reserved.",Electronic- Voting (E-Voting); Exponential Fast Fourier Transformation- Single-Window Iterative Fast Fourier Transform (EFFT-SWIFFT); Internet of Things (IoT); Linear Scaling based Fox Hunting Optimization Algorithm (LS-FHOA); Public key raised to the Power of Private Key-Elliptic Curve Cryptography (P3-ECC),,,Little Lion Scientific,19928645; 18173195,,,English,J. Theor. Appl. Inf. Technol.,Article,Final,,Scopus,2-s2.0-105002808529
,,,AIBC 2024 - 2024 5th International Artificial Intelligence and Blockchain Conference,2025,,,,,,,76,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218703786&partnerID=40&md5=e7c8d18f28a48b77c8534b141253ca58,"The proceedings contain 10 papers. The topics discussed include: design of educational data management system with blockchain and high functional digital signatures; enhancing smart contract security on VNT blockchain with an advanced graph neural network approach; predicting bitcoin prices: a comparative analysis of SuSi vs. deep learning methods; wash trading detection techniques for centralized cryptocurrency exchange services; emotional and sarcastic sentiment analytics – an extreme ai model; economic & moral right for artificial intelligence generated works: perspective from Indonesia copyright law; the approaching of convolutional neural network (CNN) and proper mathematical framework for classifying limes quality based upon Thai agricultural standard no. TAS 27-2017; and a study on extending the mechanism for preventing fraud in polling stations to electronic voting schemes. © 2025 Elsevier B.V., All rights reserved.",,,,"Association for Computing Machinery, Inc",,9798400710780,,English,AIBC - Int. Artif. Intell. Blockchain Conf.,Conference review,Final,,Scopus,2-s2.0-85218703786
,,,"9th Workshop on Advances in Secure Electronic Voting Schemes, Voting 2024, 4th Workshop on Decentralized Finance, DeFI 2024, 8th Workshop on Trusted Smart Contracts, WTSC 2024, 5th Workshop on Coordination of Decentralized Finance, CoDecFin 2024 held in conjunction with the 28th International Conference on Financial Cryptography, FC 2024",2025,Lecture Notes in Computer Science,14746 LNCS,,,,,388,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211365390&partnerID=40&md5=911d81457e8bbb16aa9cb1a89f2cbda3,"The proceedings contain 23 papers. The special focus in this conference is on Advances in Secure Electronic Voting Schemes. The topics include: VOTING 2024 Preface; RLAs for 2-Seat STV Elections: Revisited; efficient Weighting Schemes for Auditing Instant-Runoff Voting Elections; systematic User Evaluation of a Second Device Based Cast-as-Intended Verifiability Approach; On the Applicability of STARKs to Counted-as-Collected Verification in Existing Homomorphic E-Voting Systems; “You Shall Not Abstain!” A Formal Study of Forced Participation; transaction Fee Mechanism Design with Active Block Producers; transaction Ordering Auctions; an Analysis of Fixed-Spread Liquidation Lending in DeFi; Structural Advantages for Integrated Builders in MEV-Boost; EIP-4844 Economics and Rollup Strategies; Message-Passing in the Extended UTxO Ledger; zeroAuction: Zero-Deposit Sealed-Bid Auction via Delayed Execution; scam Token Detection Based on Static Analysis Before Contract Deployment; A Comparative Gas Cost Analysis of Proxy and Diamond Patterns in EVM Blockchains for Trusted Smart Contract Engineering; IZPR: Instant Zero Knowledge Proof of Reserve; a New Approach to Estimating Bitcoin Production Cost; ethereum Proof-of-Stake Consensus Layer: Participation and Decentralization; short Paper: The PoW Landscape in the Aftermath of The Merge; accountable Wallet: A Comprehensive Framework for Proving the Multifaceted Legitimacy of Wallet; Reconstitution of NFTs Based on a Game Theory Model; Regulatory Implications of MEV Mitigations; towards Regulation of Brazilian Blockchain Utilization; an Analysis and Proposal on Standardization and R&D Strategies to Promote Responsible Development of Digital Asset. © 2024 Elsevier B.V., All rights reserved.",,,"Budurushi, J.; Kulyk, O.; Allen, S.; Diamandis, T.; Klages-Mundt, A.; Bracciali, A.; Goodell, G.; Matsuo, S.",Springer Science and Business Media Deutschland GmbH,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference review,Final,,Scopus,2-s2.0-85211365390
"Bang, L.K.; Vo, H.V.; Triet, M.N.; Hung, N.N.; Trinh, P.D.; Bang, H.N.; Anh, N.T.; Ngan, K.T.N.","Bang, Le Khanh (58604835800); Vo, Khanh Hong (57208757731); Triet, N. M. (59425740400); Hung, Nhat Nguye (58746778800); Trinh, Phung Dang (59163664700); Bang, Hai Ngo (59425748200); Anh, Nguyen The (58199539500); Ngan, K. T.Nguyen (59397412500)",58604835800; 57208757731; 59425740400; 58746778800; 59163664700; 59425748200; 58199539500; 59397412500,Enhancing Election Security Through Blockchain: An In-Depth Study of Encrypted NFTs and Smart Contracts,2025,Lecture Notes in Computer Science,15423 LNCS,,,21,36,0,10.1007/978-3-031-77153-8_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210265158&doi=10.1007%2F978-3-031-77153-8_3&partnerID=40&md5=7c820ec1649155c3877bf58a18c73336,"This paper presents a blockchain-based framework designed to address current challenges in electoral systems, including security vulnerabilities, transparency issues, and inefficiencies. By integrating blockchain technology, smart contracts, encrypted Non-Fungible Tokens (NFTs), and the InterPlanetary File System (IPFS), our system aims to enhance the security, transparency, and operational efficiency of voting processes. Through a detailed evaluation across four EVM-compatible blockchain platforms-Binance Smart Chain, Polygon, Fantom, and Celo-we assess the adaptability, performance, and economic efficiency of the proposed system. The study reveals potential benefits in using blockchain technology to manage voting records effectively, providing a secure, accessible, and efficient solution for contemporary electoral challenges. © 2024 Elsevier B.V., All rights reserved.",Blockchain Voting Systems; Electoral Integrity; EVM Platforms; NFTs for Voter Authentication; Smart Contracts in Elections,Electronic voting; Voting machines; 'current; Block-chain; Blockchain voting system; Election securities; Electoral integrity; EVM platform; In-depth study; Non-fungible token for voter authentication; Smart contract in election; Voting systems; Blockchain,"Wang, Y.; Zhang, L.-J.",Springer Science and Business Media Deutschland GmbH,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference paper,Final,,Scopus,2-s2.0-85210265158
"Shi, Y.; Fan, K.; Bai, Y.; Zhang, C.; Yang, K.; Li, H.; Yang, Y.","Shi, Yijie (59380367200); Fan, Kai (8283161700); Bai, Yuhan (57210283549); Zhang, Chonglin (59380214600); Yang, Kan (56699116200); Li, Hui (57218312611); Yang, Yintang (57200899280)",59380367200; 8283161700; 57210283549; 59380214600; 56699116200; 57218312611; 57200899280,Building Efficient and Flexible Voting Protocols: An Approach to Fairness and Anonymity,2025,IEEE Internet of Things Journal,12,3,,3163,3176,0,10.1109/JIOT.2024.3478231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207291990&doi=10.1109%2FJIOT.2024.3478231&partnerID=40&md5=1067c0c9a065ff1fd46c8e9ceb8ad9e1,"Voting protocols are fundamental in modern society. With the ongoing evolution of communication technology and the Internet of Things, the importance of electronic voting protocols is anticipated to experience a significant rise in the advancement of smart cities. Leveraging the blockchain's tamper-resistant and publicly verifiable properties, along with the concept of enabling all participants to tally election results, blockchain-based self-tallying voting protocols effectively address the shortcomings of centralized traditional electronic voting. However, existing voting protocols still face the dual challenge of security and efficiency. The primary issues include the difficulty in ensuring voter anonymity and election fairness, as well as the insufficient system robustness and low tallying efficiency resulting from security design. To tackle these concerns, we propose a novel approach to constructing efficient and flexible voting protocols that concurrently ensure fairness and anonymity. Specifically, we encapsulate the decryption private keys corresponding to the public keys of encrypted ballots in time capsules to safeguard voting fairness. Additionally, based on our proposed approach, we construct an efficient and flexible score voting protocol for smart cities. The protocol employs traceable ring signature to protect the voter anonymity and public traceability, utilizes a dual-key additive homomorphic ElGamal encryption to encapsulate ballots. We also improve signature-based set membership proofs to verify the validity of ballots. Furthermore, through security analysis and performance evaluation, we demonstrate that our proposed protocol meets all security objectives with reasonable costs. © 2025 Elsevier B.V., All rights reserved.",Anonymity; blockchain; fairness; self-tallying; voting,Authentication Protocol; Blockchain; Electronic voting; Smart city; Voting machines; Block-chain; Communicationtechnology; Electronic voting protocols; Fairness; Property; Publicly verifiable; Self-tallying; Tamper-resistant; Voting; Voting protocols; Anonymity,,Institute of Electrical and Electronics Engineers Inc.,23274662,9781728176055,,English,IEEE Internet Things J.,Article,Final,,Scopus,2-s2.0-85207291990
